Name;Market ID;Market Name;ISIN;Symbol;CCY;CSD;Type;ADT (EUR);Large In Scale (Local Currency);Live Date;End Date;TrackInsight A-list
DWS GROUP GMBH & CO KGAA;XETR;Deutsche Börse - Xetra;DE000DWS1007;DWSd;EUR;DE;EQ;7.649.283;300.000;02. Okt 19;;N
DBX S&P GLOBAL INFRASTRUCT;XETR;Deutsche Börse - Xetra;LU0322253229;DX2Ed;EUR;DE;TF;1.195.793;1.000.000;30. Sep 19;;N
DBX CAC 40 (DR);XETR;Deutsche Börse - Xetra;LU0322250985;DX2Gd;EUR;DE;TF;1.761.812;1.000.000;03. Jul 19;;N
DBX STX EUROPE 600 (DR);XETR;Deutsche Börse - Xetra;LU0328475792;DX2Xd;EUR;DE;TF;13.887.849;1.000.000;03. Jul 19;;Y
DBX EURO STX 50 (DR);XETR;Deutsche Börse - Xetra;LU0380865021;DXETd;EUR;DE;TF;29.311.140;1.000.000;01. Jul 19;;N
DBX MSCI AC ACIA EX JP;XETR;Deutsche Börse - Xetra;LU0322252171;DXS5d;EUR;DE;TF;3.527.689;1.000.000;03. Jul 19;;N
DBX FTSE VIETNAM;XETR;Deutsche Börse - Xetra;LU0322252924;DXS7d;EUR;DE;TF;2.422.603;1.000.000;30. Sep 19;;N
DBX STX GLB SELECT DIV 100;XETR;Deutsche Börse - Xetra;LU0292096186;DXSBd;EUR;DE;TF;963.990;1.000.000;30. Sep 19;;N
DBX STX EUROPE BASIC RES;XETR;Deutsche Börse - Xetra;LU0292100806;DXSCd;EUR;DE;TF;639.336;1.000.000;30. Sep 19;;N
DBX STX EUROPE UTILITIES;XETR;Deutsche Börse - Xetra;LU0292104899;DXSId;EUR;DE;TF;129.067;1.000.000;30. Sep 19;;Y
DBX DBLCI - OY - 1C EUR HDG;XETR;Deutsche Börse - Xetra;LU0292106167;DXSMd;EUR;DE;TF;1.908.214;1.000.000;30. Sep 19;;Y
DBX SHORT DAX DAILY;XETR;Deutsche Börse - Xetra;LU0292106241;DXSNd;EUR;DE;TF;12.109.463;1.000.000;30. Sep 19;;N
DBX EURO STOXX 50 SHORT;XETR;Deutsche Börse - Xetra;LU0292106753;DXSPd;EUR;DE;TF;8.093.563;1.000.000;30. Sep 19;;N
DBX II ITRX EUROPE;XETR;Deutsche Börse - Xetra;LU0290358653;DXSQd;EUR;DE;TF;115.383;1.000.000;30. Sep 19;;Y
XTRACKERS II USD EMERGING MRK;XETR;Deutsche Börse - Xetra;LU0321462953;DXSUd;EUR;DE;TF;2.756.045;1.000.000;30. Sep 19;;N
DBX II IBX GERMANY COVERED;XETR;Deutsche Börse - Xetra;LU0321463506;DXSWd;EUR;DE;TF;168.048;1.000.000;30. Sep 19;;Y
ECOTEL COMMUNICATION AG;XETR;Deutsche Börse - Xetra;DE0005854343;E4Cd;EUR;DE;EQ;27.933;15.000;30. Sep 19;;N
ENBW ENERGIE BADEN-WUERTTEMB;XETR;Deutsche Börse - Xetra;DE0005220008;EBKd;EUR;DE;EQ;22.483;15.000;30. Sep 19;;N
LUDWIG BECK AM RATHAUSECK;XETR;Deutsche Börse - Xetra;DE0005199905;ECKd;EUR;DE;EQ;14.124;15.000;30. Sep 19;;N
EPIGENOMICS AG;XETR;Deutsche Börse - Xetra;DE000A11QW50;ECXd;EUR;DE;EQ;302.417;60.000;30. Sep 19;;N
EINHELL GERMANY AG-VORZUG;XETR;Deutsche Börse - Xetra;DE0005654933;EIN3d;EUR;DE;EQ;447.707;60.000;30. Sep 19;;N
BNPPEASY MSCI JAP-UCITS ETF;XETR;Deutsche Börse - Xetra;LU1291102447;EJAPd;EUR;DE;TF;1.474.937;1.000.000;30. Sep 19;;Y
ENERGIEKONTOR AG;XETR;Deutsche Börse - Xetra;DE0005313506;EKTd;EUR;DE;EQ;159.356;60.000;30. Sep 19;;N
DEKA IBOXX EUR LIQUID CORPOR;XETR;Deutsche Börse - Xetra;DE000ETFL375;EL49d;EUR;DE;TF;410.603;1.000.000;30. Sep 19;;N
DEKA DAX UCITS ETF;XETR;Deutsche Börse - Xetra;DE000ETFL011;EL4Ad;EUR;DE;TF;18.507.200;1.000.000;03. Jul 19;;Y
DEKA EURO STOXX 50 UCITS ETF;XETR;Deutsche Börse - Xetra;DE000ETFL029;EL4Bd;EUR;DE;TF;13.010.828;1.000.000;03. Jul 19;;N
ELMOS SEMICONDUCTOR AG;XETR;Deutsche Börse - Xetra;DE0005677108;ELGd;EUR;DE;EQ;1.558.832;200.000;30. Sep 19;;N
E.ON SE;XETR;Deutsche Börse - Xetra;DE000ENAG999;EOANd;EUR;DE;EQ;399.197.804;650.000;30. Sep 19;;N
BNPPEASY S&P500 UCITS ETF-C;XETR;Deutsche Börse - Xetra;FR0011550185;ESEEd;EUR;DE;TF;7.195.887;1.000.000;30. Sep 19;;Y
EASY SOFTWARE AG;XETR;Deutsche Börse - Xetra;DE0005634000;ESYd;EUR;DE;EQ;82.961;30.000;30. Sep 19;;N
ENVITEC BIOGAS AG;XETR;Deutsche Börse - Xetra;DE000A0MVLS8;ETGd;EUR;DE;EQ;64.144;30.000;30. Sep 19;;N
EUROMICRON AG;XETR;Deutsche Börse - Xetra;DE000A1K0300;EUCAd;EUR;DE;EQ;110.777;60.000;30. Sep 19;;N
ECKERT & ZIEGLER STRAHLEN UN;XETR;Deutsche Börse - Xetra;DE0005659700;EUZd;EUR;DE;EQ;796.098;100.000;30. Sep 19;;N
CTS EVENTIM AG & CO KGAA;XETR;Deutsche Börse - Xetra;DE0005470306;EVDd;EUR;DE;EQ;18.687.988;300.000;30. Sep 19;;N
EVONIK INDUSTRIES AG;XETR;Deutsche Börse - Xetra;DE000EVNK013;EVKd;EUR;DE;EQ;88.459.072;500.000;30. Sep 19;;N
EVOTEC AG;XETR;Deutsche Börse - Xetra;DE0005664809;EVTd;EUR;DE;EQ;49.782.830;400.000;30. Sep 19;;N
ISHR EUROPE600 OIL & GAS DE;XETR;Deutsche Börse - Xetra;DE000A0H08M3;EXH1d;EUR;DE;TF;17.077.525;1.000.000;30. Sep 19;;N
ISHARES DJ GLOBALTITAN50 DE;XETR;Deutsche Börse - Xetra;DE0006289382;EXI2d;EUR;DE;TF;1.104.437;1.000.000;30. Sep 19;;Y
EXPEDEON AG;XETR;Deutsche Börse - Xetra;DE000A2YN801;EXNNd;EUR;DE;EQ;3.094.620;200.000;10. Okt 19;;N
ISHARES CORE DAX UCITS ETF D;XETR;Deutsche Börse - Xetra;DE0005933931;EXS1d;EUR;DE;TF;131.598.593;1.000.000;30. Sep 19;;Y
ISHARES MDAX UCITS ETF DE;XETR;Deutsche Börse - Xetra;DE0005933923;EXS3d;EUR;DE;TF;12.778.609;1.000.000;30. Sep 19;;N
ISHARES STOXX EUROPE 600 DE;XETR;Deutsche Börse - Xetra;DE0002635307;EXSAd;EUR;DE;TF;82.402.689;1.000.000;30. Sep 19;;N
ISH EUR600 BASICRESOURCE DE;XETR;Deutsche Börse - Xetra;DE000A0F5UK5;EXV6d;EUR;DE;TF;8.635.216;1.000.000;30. Sep 19;;N
ISHARES EURO STOXX50 UCITS D;XETR;Deutsche Börse - Xetra;DE0005933956;EXW1d;EUR;DE;TF;134.672.083;1.000.000;30. Sep 19;;N
ISHARES EURO STOXX BANKS 30-;XETR;Deutsche Börse - Xetra;DE0006289309;EXX1d;EUR;DE;TF;46.286.743;1.000.000;30. Sep 19;;N
SFC ENERGY AG-BR;XETR;Deutsche Börse - Xetra;DE0007568578;F3Cd;EUR;DE;EQ;301.113;60.000;30. Sep 19;;N
FABASOFT AG;XETR;Deutsche Börse - Xetra;AT0000785407;FAAd;EUR;DE;EQ;196.463;60.000;30. Sep 19;;N
FACEBOOK INC-A;XETR;Deutsche Börse - Xetra;US30303M1027;FB2Ad;EUR;DE;EQ;153.825.669;650.000;30. Sep 19;;N
FORTEC ELEKTRONIK AG;XETR;Deutsche Börse - Xetra;DE0005774103;FEVd;EUR;DE;EQ;144.036;60.000;30. Sep 19;;N
FIELMANN AG;XETR;Deutsche Börse - Xetra;DE0005772206;FIEd;EUR;DE;EQ;22.137.479;300.000;30. Sep 19;;N
FRESENIUS MEDICAL CARE AG &;XETR;Deutsche Börse - Xetra;DE0005785802;FMEd;EUR;DE;EQ;194.113.679;650.000;30. Sep 19;;N
FREENET AG;XETR;Deutsche Börse - Xetra;DE000A0Z2ZZ5;FNTNd;EUR;DE;EQ;41.818.303;400.000;30. Sep 19;;N
FUCHS PETROLUB SE -PREF;XETR;Deutsche Börse - Xetra;DE0005790430;FPE3d;EUR;DE;EQ;20.595.154;300.000;30. Sep 19;;N
FUCHS PETROLUB SE;XETR;Deutsche Börse - Xetra;DE0005790406;FPEd;EUR;DE;EQ;2.469.718;200.000;30. Sep 19;;N
FRANCOTYP-POSTALIA HOLDING A;XETR;Deutsche Börse - Xetra;DE000FPH9000;FPHd;EUR;DE;EQ;219.283;60.000;30. Sep 19;;N
FRAPORT AG FRANKFURT AIRPORT;XETR;Deutsche Börse - Xetra;DE0005773303;FRAd;EUR;DE;EQ;44.661.047;400.000;30. Sep 19;;N
FRESENIUS SE & CO KGAA;XETR;Deutsche Börse - Xetra;DE0005785604;FREd;EUR;DE;EQ;350.860.547;650.000;30. Sep 19;;N
FERRATUM OYJ;XETR;Deutsche Börse - Xetra;FI4000106299;FRUd;EUR;DE;EQ;836.866;100.000;30. Sep 19;;N
FORMYCON AG;XETR;Deutsche Börse - Xetra;DE000A1EWVY8;FYBd;EUR;DE;EQ;340.861;60.000;30. Sep 19;;N
GEA GROUP AG;XETR;Deutsche Börse - Xetra;DE0006602006;G1Ad;EUR;DE;EQ;59.937.627;500.000;10. Okt 19;;N
SCOUT24 AG;XETR;Deutsche Börse - Xetra;DE000A12DM80;G24d;EUR;DE;EQ;59.946.131;500.000;30. Sep 19;;N
BILFINGER SE;XETR;Deutsche Börse - Xetra;DE0005909006;GBFd;EUR;DE;EQ;16.173.471;300.000;30. Sep 19;;N
GFT TECHNOLOGIES SE;XETR;Deutsche Börse - Xetra;DE0005800601;GFTd;EUR;DE;EQ;1.803.120;200.000;30. Sep 19;;N
GOLD BULLION SECURITIES LTD;XETR;Deutsche Börse - Xetra;DE000A0LP781;GG9Bd;EUR;DE;CO;945.908;90.000;03. Jul 19;;N
GIGASET AG;XETR;Deutsche Börse - Xetra;DE0005156004;GGSd;EUR;DE;EQ;47.478;15.000;30. Sep 19;;N
DMG MORI AG;XETR;Deutsche Börse - Xetra;DE0005878003;GILd;EUR;DE;EQ;1.514.719;200.000;30. Sep 19;;N
GK SOFTWARE SE;XETR;Deutsche Börse - Xetra;DE0007571424;GKSd;EUR;DE;EQ;243.949;60.000;30. Sep 19;;N
GRENKE AG;XETR;Deutsche Börse - Xetra;DE000A161N30;GLJd;EUR;DE;EQ;15.067.338;300.000;30. Sep 19;;N
GERATHERM MEDICAL AG;XETR;Deutsche Börse - Xetra;DE0005495626;GMEd;EUR;DE;EQ;34.936;15.000;30. Sep 19;;N
GRAMMER AG;XETR;Deutsche Börse - Xetra;DE0005895403;GMMd;EUR;DE;EQ;2.456.677;200.000;30. Sep 19;;N
GESCO AG;XETR;Deutsche Börse - Xetra;DE000A1K0201;GSC1d;EUR;DE;EQ;438.642;60.000;30. Sep 19;;N
GERRY WEBER INTL AG;XETR;Deutsche Börse - Xetra;DE0003304101;GWI1d;EUR;DE;EQ;664.548;100.000;30. Sep 19;;N
GERRESHEIMER AG;XETR;Deutsche Börse - Xetra;DE000A0LD6E6;GXId;EUR;DE;EQ;28.376.725;400.000;30. Sep 19;;N
GRAND CITY PROPERTIES;XETR;Deutsche Börse - Xetra;LU0775917882;GYCd;EUR;DE;EQ;22.097.547;300.000;30. Sep 19;;N
ETFS PHYSICAL SWISS GOLD;XETR;Deutsche Börse - Xetra;DE000A1DCTL3;GZURd;EUR;DE;CO;406.519;90.000;03. Jul 19;;N
HELMA EIGENHEIMBAU AG;XETR;Deutsche Börse - Xetra;DE000A0EQ578;H5Ed;EUR;DE;EQ;294.087;60.000;30. Sep 19;;N
HAMBORNER REIT AG;XETR;Deutsche Börse - Xetra;DE0006013006;HABd;EUR;DE;EQ;2.080.925;200.000;30. Sep 19;;N
HAEMATO AG;XETR;Deutsche Börse - Xetra;DE0006190705;HAEd;EUR;DE;EQ;158.357;60.000;30. Sep 19;;N
HAWESKO HOLDING AG;XETR;Deutsche Börse - Xetra;DE0006042708;HAWd;EUR;DE;EQ;82.088;30.000;30. Sep 19;;N
HORNBACH HOLDING AG-PRFD;XETR;Deutsche Börse - Xetra;DE0006083405;HBHd;EUR;DE;EQ;2.649.212;200.000;30. Sep 19;;N
HORNBACH BAUMARKT AG;XETR;Deutsche Börse - Xetra;DE0006084403;HBMd;EUR;DE;EQ;293.370;60.000;30. Sep 19;;N
HEIDELBERGER DRUCKMASCHINEN;XETR;Deutsche Börse - Xetra;DE0007314007;HDDd;EUR;DE;EQ;7.840.376;300.000;30. Sep 19;;N
HEIDELBERGCEMENT AG;XETR;Deutsche Börse - Xetra;DE0006047004;HEId;EUR;DE;EQ;186.564.168;650.000;30. Sep 19;;N
HENKEL AG & CO KGAA VORZUG;XETR;Deutsche Börse - Xetra;DE0006048432;HEN3d;EUR;DE;EQ;177.021.998;650.000;30. Sep 19;;N
HENKEL AG & CO KGAA;XETR;Deutsche Börse - Xetra;DE0006048408;HENd;EUR;DE;EQ;27.115.370;400.000;30. Sep 19;;N
HELLOFRESH SE;XETR;Deutsche Börse - Xetra;DE000A161408;HFGd;EUR;DE;EQ;8.306.209;300.000;30. Sep 19;;N
HAMBURGER HAFEN UND LOGISTIK;XETR;Deutsche Börse - Xetra;DE000A0S8488;HHFAd;EUR;DE;EQ;4.385.748;200.000;30. Sep 19;;N
HAPAG-LLOYD AG;XETR;Deutsche Börse - Xetra;DE000HLAG475;HLAGd;EUR;DE;EQ;7.929.249;300.000;10. Okt 19;;N
HELLA KGAA HUECK & CO;XETR;Deutsche Börse - Xetra;DE000A13SX22;HLEd;EUR;DE;EQ;29.337.329;400.000;30. Sep 19;;N
DR HOENLE AG;XETR;Deutsche Börse - Xetra;DE0005157101;HNLd;EUR;DE;EQ;2.168.726;200.000;30. Sep 19;;N
HANNOVER RUECK SE;XETR;Deutsche Börse - Xetra;DE0008402215;HNR1d;EUR;DE;EQ;60.977.522;500.000;30. Sep 19;;N
HOLIDAYCHECK GROUP AG;XETR;Deutsche Börse - Xetra;DE0005495329;HOCd;EUR;DE;EQ;379.009;60.000;30. Sep 19;;N
HOCHTIEF AG;XETR;Deutsche Börse - Xetra;DE0006070006;HOTd;EUR;DE;EQ;47.381.508;400.000;30. Sep 19;;N
HELIAD EQUITY PARTNERS GMBH;XETR;Deutsche Börse - Xetra;DE000A0L1NN5;HPBKd;EUR;DE;EQ;90.899;30.000;30. Sep 19;;N
ERNST RUSS AG;XETR;Deutsche Börse - Xetra;DE000A161077;HXCKd;EUR;DE;EQ;20.757;15.000;30. Sep 19;;N
HYPOPORT AG;XETR;Deutsche Börse - Xetra;DE0005493365;HYQd;EUR;DE;EQ;4.598.410;200.000;30. Sep 19;;N
ITN NANOVATION AG;XETR;Deutsche Börse - Xetra;DE000A0JL461;I7Nd;EUR;DE;EQ;35.027;15.000;30. Sep 19;;N
ISHARES EURO GOVT 3-5Y;XETR;Deutsche Börse - Xetra;IE00B1FZS681;IBCNd;EUR;EB;TF;9.893.211;1.000.000;30. Sep 19;;Y
INFINEON TECHNOLOGIES AG;XETR;Deutsche Börse - Xetra;DE0006231004;IFXd;EUR;DE;EQ;369.969.142;650.000;30. Sep 19;;N
INNOGY SE;XETR;Deutsche Börse - Xetra;DE000A2AADD2;IGYd;EUR;DE;EQ;107.566.865;650.000;30. Sep 19;;N
INDUS HOLDING AG;XETR;Deutsche Börse - Xetra;DE0006200108;INHd;EUR;DE;EQ;2.444.288;200.000;30. Sep 19;;N
ING GROEP NV;XETR;Deutsche Börse - Xetra;NL0011821202;INN1d;EUR;DE;EQ;873.228.861;650.000;30. Sep 19;;N
INTICA SYSTEMS AG;XETR;Deutsche Börse - Xetra;DE0005874846;IS7d;EUR;DE;EQ;13.971;15.000;30. Sep 19;;N
IFA SYSTEMS AG;XETR;Deutsche Börse - Xetra;DE0007830788;IS8d;EUR;DE;EQ;22.284;15.000;30. Sep 19;;N
INTERSHOP COMMUNICATIONS AG;XETR;Deutsche Börse - Xetra;DE000A0EPUH1;ISH2d;EUR;DE;EQ;71.135;30.000;30. Sep 19;;N
ISRA VISION AG;XETR;Deutsche Börse - Xetra;DE0005488100;ISRd;EUR;DE;EQ;9.385.484;300.000;30. Sep 19;;N
ISHARES EURO COVERED BOND;XETR;Deutsche Börse - Xetra;IE00B3B8Q275;IUS6d;EUR;EB;TF;4.147.713;1.000.000;30. Sep 19;;Y
IVU TRAFFIC TECHNOLOGIES AG;XETR;Deutsche Börse - Xetra;DE0007448508;IVUd;EUR;DE;EQ;161.388;60.000;30. Sep 19;;N
INVISION AG;XETR;Deutsche Börse - Xetra;DE0005859698;IVXd;EUR;DE;EQ;55.951;30.000;30. Sep 19;;N
TRAFFIC SYSTEMS SE;XETR;Deutsche Börse - Xetra;DE0005759807;IXXd;EUR;DE;EQ;254.295;60.000;30. Sep 19;;N
JENOPTIK AG;XETR;Deutsche Börse - Xetra;DE000A2NB601;JENd;EUR;DE;EQ;12.195.101;300.000;30. Sep 19;;N
JOST WERKE AG;XETR;Deutsche Börse - Xetra;DE000JST4000;JSTd;EUR;DE;EQ;4.108.477;200.000;30. Sep 19;;N
JUNGHEINRICH - PRFD;XETR;Deutsche Börse - Xetra;DE0006219934;JUN3d;EUR;DE;EQ;14.571.312;300.000;30. Sep 19;;N
KNORR-BREMSE AG;XETR;Deutsche Börse - Xetra;DE000KBX1006;KBXd;EUR;DE;EQ;0;15.000;24. Jul 19;;N
KLOECKNER & CO SE;XETR;Deutsche Börse - Xetra;DE000KC01000;KCOd;EUR;DE;EQ;13.581.868;300.000;30. Sep 19;;N
KION GROUP AG;XETR;Deutsche Börse - Xetra;DE000KGX8881;KGXd;EUR;DE;EQ;54.664.722;500.000;30. Sep 19;;N
KRONES AG;XETR;Deutsche Börse - Xetra;DE0006335003;KRNd;EUR;DE;EQ;10.423.656;300.000;30. Sep 19;;N
KSB AG-VORZUG;XETR;Deutsche Börse - Xetra;DE0006292030;KSB3d;EUR;DE;EQ;559.629;100.000;30. Sep 19;;N
KSB SE & CO KGAA;XETR;Deutsche Börse - Xetra;DE0006292006;KSBd;EUR;DE;EQ;58.055;30.000;30. Sep 19;;N
KPS AG;XETR;Deutsche Börse - Xetra;DE000A1A6V48;KSCd;EUR;DE;EQ;662.910;100.000;30. Sep 19;;N
KUKA AG;XETR;Deutsche Börse - Xetra;DE0006204407;KU2d;EUR;DE;EQ;1.191.604;200.000;30. Sep 19;;N
KHD HUMBOLDT WEDAG INTERNATI;XETR;Deutsche Börse - Xetra;DE0006578008;KWGd;EUR;DE;EQ;29.175;15.000;30. Sep 19;;N
KWS SAAT SE;XETR;Deutsche Börse - Xetra;DE0007074007;KWSd;EUR;DE;EQ;1.682.460;200.000;30. Sep 19;;N
AMUNDI ETF GOVT BOND LOWEST;XETR;Deutsche Börse - Xetra;LU1681046774;KX1Gd;EUR;DE;TF;11.952.572;1.000.000;03. Jul 19;;N
LLOYD FONDS AG;XETR;Deutsche Börse - Xetra;DE000A12UP29;L1OAd;EUR;DE;EQ;57.258;30.000;30. Sep 19;;N
LYXOR ETF COMMODITIES REUTER;XETR;Deutsche Börse - Xetra;LU1829218582;LCTRd;EUR;DE;CO;933.524;1.000.000;08. Jul 19;;N
LEG IMMOBILIEN AG;XETR;Deutsche Börse - Xetra;DE000LEG1110;LEGd;EUR;DE;EQ;64.241.851;500.000;08. Jul 19;;N
LEIFHEIT AG;XETR;Deutsche Börse - Xetra;DE0006464506;LEId;EUR;DE;EQ;701.528;100.000;30. Sep 19;;N
LEONI AG;XETR;Deutsche Börse - Xetra;DE0005408884;LEOd;EUR;DE;EQ;28.912.068;400.000;30. Sep 19;;N
LYXOR ETF PAN AFRICA;XETR;Deutsche Börse - Xetra;LU1287022708;LGQMd;EUR;DE;TF;342.817;1.000.000;30. Sep 19;;N
DEUTSCHE LUFTHANSA-REG;XETR;Deutsche Börse - Xetra;DE0008232125;LHAd;EUR;DE;EQ;266.687.592;650.000;30. Sep 19;;N
LINDE PLC;XETR;Deutsche Börse - Xetra;IE00BZ12WP82;LINd;EUR;DE;EQ;639.451.620;650.000;30. Sep 19;;N
LYXOR ETF KOREA;XETR;Deutsche Börse - Xetra;LU1900066975;LKORd;EUR;DE;TF;775.969;1.000.000;03. Jul 19;;N
SIXT LEASING SE;XETR;Deutsche Börse - Xetra;DE000A0DPRE6;LNSXd;EUR;DE;EQ;707.399;100.000;30. Sep 19;;N
LOTTO24;XETR;Deutsche Börse - Xetra;DE000LTT0243;LO24d;EUR;DE;EQ;241.254;60.000;30. Sep 19;;N
DEAG DEUTSCHE ENTERTAINMENT;XETR;Deutsche Börse - Xetra;DE000A0Z23G6;LOUDd;EUR;DE;EQ;184.094;60.000;30. Sep 19;;N
LPKF LASER & ELECTRONICS;XETR;Deutsche Börse - Xetra;DE0006450000;LPKd;EUR;DE;EQ;286.017;60.000;30. Sep 19;;N
LYXOR UCITS ETF EURO STOXX 5;XETR;Deutsche Börse - Xetra;FR0010424143;LSK8d;EUR;DE;TF;16.040.147;1.000.000;30. Sep 19;;N
LANG & SCHWARZ AG;XETR;Deutsche Börse - Xetra;DE0006459324;LUSd;EUR;DE;EQ;519.712;100.000;30. Sep 19;;N
LANXESS AG;XETR;Deutsche Börse - Xetra;DE0005470405;LXSd;EUR;DE;EQ;69.515.847;500.000;30. Sep 19;;N
LYXOR ETF MSCI EMER MKTS-A;XETR;Deutsche Börse - Xetra;FR0010429068;LYM7d;EUR;DE;TF;24.841.522;1.000.000;30. Sep 19;;N
LYXOR ETF MSCI INDIA;XETR;Deutsche Börse - Xetra;FR0010361683;LYMDd;EUR;DE;TF;13.576.187;1.000.000;30. Sep 19;;N
LYXOR ETF EURO STOXX 50 LEV;XETR;Deutsche Börse - Xetra;FR0010468983;LYMZd;EUR;DE;TF;9.314.594;1.000.000;01. Jul 19;;N
LYXOR ETF DAILY SHORTDAX X2;XETR;Deutsche Börse - Xetra;FR0010869495;LYQLd;EUR;DE;TF;4.735.979;1.000.000;30. Sep 19;;N
LYXOR UCITS ETF EURO STOXX 5;XETR;Deutsche Börse - Xetra;FR0007054358;LYSXd;EUR;DE;TF;62.694.132;1.000.000;30. Sep 19;;Y
LYXOR ETF COMMODITIES THOMSO;XETR;Deutsche Börse - Xetra;LU1829218749;LYTRd;EUR;DE;TF;44.168.367;1.000.000;08. Jul 19;;N
MULTI UNITS FRANCE;XETR;Deutsche Börse - Xetra;FR0010245514;LYY4d;EUR;DE;TF;13.798.059;1.000.000;30. Sep 19;;Y
LYXOR ETF DAX;XETR;Deutsche Börse - Xetra;LU0252633754;LYY7d;EUR;DE;TF;27.987.745;1.000.000;30. Sep 19;;N
LYXOR DAILY LEVDAX UCITS ETF;XETR;Deutsche Börse - Xetra;LU0252634307;LYY8d;EUR;DE;TF;11.721.504;1.000.000;30. Sep 19;;N
MIC AG;XETR;Deutsche Börse - Xetra;DE000A0KF6S5;M3Bd;EUR;DE;EQ;36.552;15.000;30. Sep 19;;N
MEVIS MEDICAL SOLUTIONS AG;XETR;Deutsche Börse - Xetra;DE000A0LBFE4;M3Vd;EUR;DE;EQ;17.198;15.000;30. Sep 19;;N
MANZ AG;XETR;Deutsche Börse - Xetra;DE000A0JQ5U3;M5Zd;EUR;DE;EQ;642.547;100.000;30. Sep 19;;N
MAN SE-VORZUGSAKTIEN;XETR;Deutsche Börse - Xetra;DE0005937031;MAN3d;EUR;DE;EQ;392.344;60.000;30. Sep 19;;N
MAN SE;XETR;Deutsche Börse - Xetra;DE0005937007;MANd;EUR;DE;EQ;43.898.279;400.000;30. Sep 19;;N
MBB SE;XETR;Deutsche Börse - Xetra;DE000A0ETBQ4;MBBd;EUR;DE;EQ;723.350;100.000;30. Sep 19;;N
MOBOTIX AG;XETR;Deutsche Börse - Xetra;DE0005218309;MBQd;EUR;DE;EQ;31.696;15.000;30. Sep 19;;N
MEDIGENE AG;XETR;Deutsche Börse - Xetra;DE000A1X3W00;MDG1d;EUR;DE;EQ;6.235.837;300.000;30. Sep 19;;N
MEDION AG;XETR;Deutsche Börse - Xetra;DE0006605009;MDNd;EUR;DE;EQ;56.558;30.000;30. Sep 19;;N
MAGFORCE AG;XETR;Deutsche Börse - Xetra;DE000A0HGQF5;MF6d;EUR;DE;EQ;450.865;60.000;30. Sep 19;;N
MOLOGEN AG;XETR;Deutsche Börse - Xetra;DE000A2LQ900;MGNKd;EUR;DE;EQ;244.481;60.000;30. Sep 19;;N
MUELLER-DIE LILA LOGISTIK AG;XETR;Deutsche Börse - Xetra;DE0006214687;MLLd;EUR;DE;EQ;7.792;15.000;30. Sep 19;;N
MLP SE;XETR;Deutsche Börse - Xetra;DE0006569908;MLPd;EUR;DE;EQ;1.104.070;200.000;30. Sep 19;;N
MORPHOSYS AG;XETR;Deutsche Börse - Xetra;DE0006632003;MORd;EUR;DE;EQ;39.799.385;400.000;30. Sep 19;;N
MPC CAPITAL AG;XETR;Deutsche Börse - Xetra;DE000A1TNWJ4;MPCKd;EUR;DE;EQ;136.263;60.000;30. Sep 19;;N
MERCK KGAA;XETR;Deutsche Börse - Xetra;DE0006599905;MRKd;EUR;DE;EQ;146.858.357;650.000;30. Sep 19;;N
MS INDUSTRIE AG;XETR;Deutsche Börse - Xetra;DE0005855183;MSAGd;EUR;DE;EQ;201.840;60.000;30. Sep 19;;N
MTU AERO ENGINES AG;XETR;Deutsche Börse - Xetra;DE000A0D9PT0;MTXd;EUR;DE;EQ;82.123.001;500.000;30. Sep 19;;N
MUEHLBAUER HOLDING AG;XETR;Deutsche Börse - Xetra;DE0006627201;MUBd;EUR;DE;EQ;147.623;60.000;30. Sep 19;;N
MENSCH UND MASCHINE SOFTWARE;XETR;Deutsche Börse - Xetra;DE0006580806;MUMd;EUR;DE;EQ;335.416;60.000;30. Sep 19;;N
MUENCHENER RUECKVER AG-REG;XETR;Deutsche Börse - Xetra;DE0008430026;MUV2d;EUR;DE;EQ;348.529.880;650.000;30. Sep 19;;N
MUTARES AG;XETR;Deutsche Börse - Xetra;DE000A2NB650;MUXd;EUR;DE;EQ;471.967;60.000;30. Sep 19;;N
MVV ENERGIE AG;XETR;Deutsche Börse - Xetra;DE000A0H52F5;MVV1d;EUR;DE;EQ;79.890;30.000;30. Sep 19;;N
M.A.X. AUTOMATION SE;XETR;Deutsche Börse - Xetra;DE000A2DA588;MXHNd;EUR;DE;EQ;333.170;60.000;30. Sep 19;;N
MASTERFLEX SE;XETR;Deutsche Börse - Xetra;DE0005492938;MZXd;EUR;DE;EQ;62.569;30.000;30. Sep 19;;N
NANOGATE AG;XETR;Deutsche Börse - Xetra;DE000A0JKHC9;N7Gd;EUR;DE;EQ;510.599;100.000;30. Sep 19;;N
NUERNBERGER BETEILIG-AKT 'B';XETR;Deutsche Börse - Xetra;DE0008435967;NBG6d;EUR;DE;EQ;21.641;15.000;30. Sep 19;;N
NORCOM INFORMATION TECHNOLOG;XETR;Deutsche Börse - Xetra;DE000A12UP37;NC5Ad;EUR;DE;EQ;670.281;100.000;30. Sep 19;;N
AURUBIS AG;XETR;Deutsche Börse - Xetra;DE0006766504;NDAd;EUR;DE;EQ;45.668.882;400.000;30. Sep 19;;N
NORDEX SE;XETR;Deutsche Börse - Xetra;DE000A0D6554;NDX1d;EUR;DE;EQ;11.872.896;300.000;30. Sep 19;;N
